Tweet,Text Label
"rape",Bullying
"Get fucking real dude",Bullying
"She is as dirty as they come  and that crook Rengel  the Dems are so fucking corrupt it's a joke. Make Republicans look like ...",Bullying
"You're such a loser",Bullying
"Nobody likes you",Bullying
"Go die",Bullying
"You're so ugly",Bullying
"Fat pig",Bullying
"You’re a waste of space",Bullying
"Bitch",Bullying
"Slut",Bullying
"Idiot",Bullying
"Moron",Bullying
"Dumbass",Bullying
"Stupid loser",Bullying
"Go kill yourself",Bullying
"Freak",Bullying
"Nobody wants you here",Bullying
"Retard",Bullying
"You’re useless",Bullying
"Stop acting like a psycho",Bullying
"You're nothing",Bullying
"Just shut up already",Bullying
"Ugly bitch",Bullying
"Fat cow",Bullying
"You're so dumb",Bullying
"Go to hell",Bullying
"Die in a hole",Bullying
"Your face makes me sick",Bullying
"Filthy creature",Bullying
"You don’t belong here",Bullying
"Piece of shit",Bullying
"You're trash",Bullying
"Nobody cares about you",Bullying
"Stupid fat ass",Bullying
"Burn in hell",Bullying
"Attention seeker",Bullying
"Go cry to your mommy",Bullying
"You act like a dog",Bullying
"You talk like a retard",Bullying
"Stinky idiot",Bullying
"Your parents must be ashamed",Bullying
"Ugly and dumb",Bullying
"People laugh at you",Bullying
"No one will ever love you",Bullying
"You're adopted",Bullying
"You deserve to be alone",Bullying
"You're a disgrace",Bullying
"Just vanish",Bullying
"You're a failure",Bullying
"why did you fuck it up. I could do it all day too. Let's do it when you have an hour. Ping me later to sched writing a book here.",Bullying
"Dude they dont finish enclosing the fucking showers. I hate half assed jobs. Whats the reasononing behind it? Makes no sense.",Bullying
"WTF are you talking about Men? No men thats not a menage  that's just gay.",Bullying
"Ill save you the trouble sister. Here comes a big ol fuck France block coming your way here on the twitter.",Bullying
"Im dead serious.Real athletes never cheat don't even have the appearance of at his level. Fuck him dude seriously  I think he did",Bullying
"...go absolutely insane.hate to be the bearer of bad news..LoL..dont shoot the messenger (cause we all know you bought that pistol",Bullying
"Lmao  im watching the same thing ahaha. The gay guy is hilarious! ""Dede having a good day and I dont want anyone to mess it up.""",Bullying
"LOL  no he said  What do you call a jail cell to a gay guy? Paradise! ahaha.",Bullying
"truth on both counts that guy is an ass  and their product is sub par. I tell people try Dalesandros orJim's",Bullying
"Shakespeare nerd!",Bullying
"you are SUCH a fucking dork",Bullying
"Heh. Fuck 'em WHERE?!?",Bullying
"damn it i totally forgot that one!",Bullying
"wow  damn I would have been pissed @ that...",Bullying
"nigga u geigh lmao! fuck yo finals beeeeeitch",Bullying
"that sucks :(",Bullying
"read that this morning. my fav is how they just straight up say ""cum shots""",Bullying
"Unibroue 17 !!!! Another damn good Unibroue",Bullying
"damn your evil 60 minute IPA beckoning me from the fridge right now...",Bullying
"It did  then my fucking dad turned it off. I just don't think it likes your movies. I was tryin to watch Nanny Diaries.",Bullying
"it pretty much is a fuck you card..",Bullying
"that karma is a bitch  HUH",Bullying
"don't get too fat or you'll turn into a boomer",Bullying
"the hormones are worse for guys.  I cant tell you how much I truly hate the thoughts that go through my head.",Bullying
"except for joe jonas the ass munch who broke up w/our tyler via phone..kinda like doing via text - what kind of a-hole does that?",Bullying
"man that rly sucks. I for 1 am positive that all will work out. You're a bright dude... pretty cool 2 if I don't say so myself.",Bullying
"algorithms",Bullying
"hard to kick ass yourself with slippers on?  On it.",Bullying
"Thats pretty damn awesome! Very smart :) @Aaronage Sure!",Bullying
"freak'n awesome. so far loving 4.5. the browser is fantastic. and finally video  pretty cool",Bullying
"Damn  that sounds good...",Bullying
"they should have a wii loser..that way you can compete with your wii friends.",Bullying
"@markmancao haha. i love it! gay nights for all!",Bullying
"that's awesome! you're pretty damn good!",Bullying
"Faggoty fag fag. Gay secks man blowjob. Settle down.",Bullying
"Right. That wouldn't be creepy as fuck.",Bullying
"HOLY SHIT. Fuck that band.",Bullying
"Gay fag.",Bullying
"oh ok it's the dick-in-a-box guys  that explains the timberlake appearance",Bullying
"*falls off of bed laughing fabulous ass off* Dude I think that made me BLUSH. WTF? LOL?",Bullying
"and @justlikeanovel: *raises hand rather gaily* One real gay man right here  darlings! HOLLA! #supergay",Bullying
" oh man. the malls are a mess  it grosses me out. ohhh capitalist dogma  how i hate you",Bullying
"where'd ya put it? o btw: ""kick ass quote Copyright&#169; 2009 @abcd91 All Rights Reserved""",Bullying
"It sucks to be done with exams n still be @ Mayag.",Bullying
"Epic WINS for Fuck City&lt;3",Bullying
"Has it snowed where you are?? I miss the damn snow. I haven't seen any in forever. Everyone has some snow but me :( lol",Bullying
" aren't you just super special.  I will not know the sweetness of sleep until about 9 tonight. I hate grad school. I want out!",Bullying
"fuck yes.  I hate them at work...",Bullying
"Holy ass hell balls!!!  $260 for premium????  Fuck upgrading.  I will fucking cope with Basic",Bullying
"but seriously...  WHY THE HELL ARE YOU STILL ONLINE????  Were you injured in god damn 'NAM or something???  GO!!!",Bullying
"damn. Don't want to visit a country that doesn't allow passport smile. Just want to go to Cabo soon.",Bullying
"I've never been to New York  and Peyton was an ass when the Chargers wanted to draft him  but I do love to win.",Bullying
"damn.  did you buy bitchy too?",Bullying
"then by all means  bitch away! haha.",Bullying
"sucks that ppl will do anything to make a buck. i just love how your fans are calling them out. and i'm glad your iphone is safe.",Bullying
"Let that pussy freeze. Rotten bitey little bastard.",Bullying
"Dood! You just justified your MBA. I pity the sorry ass of that downtrodden employee whose manager you'll soon become.",Bullying
